Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
03월 23일, SSG,3회초,김광현,2 고승민,5 (1-2),헛스윙 삼진,1사 1루 1:2,2사 1루 1:2,1.39,0.531,-0.31,64.40%,-0.033
05월 18일, 두산,3회초,곽빈,3 고승민,4 (2-1),중견수 희생플라이 아웃,"무사 2,3루 0:4",1사 2루 1:4,1.49,2.292,-0.503,78.30%,-0.034
05월 19일, 두산,1회초,브랜든,3 고승민,5 (2-2),중견수 플라이 아웃,1사 2루 0:0,2사 2루 0:0,1.21,0.8,-0.403,51.60%,-0.034
05월 17일, 두산,6회초,최준호,3 고승민,5 (3-1),좌익수 플라이 아웃,무사 0:0,1사 0:0,1.34,0.559,-0.268,53.40%,-0.034
04월 27일, NC,2회초,김시훈,7 고승민,4 (1-2),2루수 플라이 아웃,2사 2루 0:0,이닝종료 0:0,1.2,0.385,-0.385,55.10%,-0.034
05월 11일, LG,6회말,손주영,2 고승민,6 (2-2),헛스윙 삼진,무사 2:0,1사 2:0,1.38,0.554,-0.269,22.00%,-0.035
05월 23일, KIA,1회말,김사윤,3 고승민,5 (2-2),루킹 삼진,1사 2루 2:0,2사 2루 2:0,1.26,0.793,-0.401,33.10%,-0.035
05월 12일, LG,1회말,강효종,2 고승민,4 (1-2),중견수 플라이 아웃,무사 1루 1:0,1사 1루 1:0,1.53,0.975,-0.43,44.80%,-0.035
03월 26일, KIA,5회초,양현종,2 고승민,3 (1-1),선행주자아웃 출루,1사 1루 0:0,2사 1루 0:0,1.59,0.531,-0.31,53.50%,-0.038
05월 02일, 키움,4회말,김인범,6 고승민,3 (1-1),선행주자아웃 출루,"무사 1,2루 4:1","1사 1,3루 4:1",2.38,1.666,-0.4,28.20%,-0.038
04월 02일, 한화,7회초,주현상,7 고승민,3 (0-2),헛스윙 삼진,무사 0:0,1사 0:0,1.54,0.542,-0.266,53.90%,-0.039
03월 26일, KIA,7회초,최지민,2 고승민,6 (3-2),유격수 파울플라이 아웃,무사 1:1,1사 1:1,1.54,0.529,-0.258,53.90%,-0.039
05월 21일, KIA,3회말,네일,3 고승민,5 (2-2),중견수 플라이 아웃,2사 2루 1:0,이닝종료 1:0,1.39,0.397,-0.397,37.50%,-0.039
05월 21일, KIA,6회말,네일,3 고승민,3 (0-2),2루수 땅볼 아웃,무사 1:0,1사 1:0,1.57,0.562,-0.27,35.20%,-0.04
03월 29일, NC,6회말,이준호,2 고승민,5 (2-2),2루수 땅볼 아웃,무사 1:0,1사 1:0,1.57,0.535,-0.26,35.20%,-0.04
05월 12일, LG,8회말,김진성,2 고승민,3 (1-1),2루수 땅볼 아웃,2사 1루 6:4,이닝종료 6:4,1.5,0.233,-0.233,7.40%,-0.043
03월 23일, SSG,5회초,김광현,2 고승민,6 (2-2),헛스윙 삼진,무사 1루 2:4,1사 1루 2:4,1.93,0.947,-0.416,75.10%,-0.044
05월 17일, 두산,1회초,최준호,3 고승민,1 (0-0),유격수 병살타 아웃,1사 1루 0:0,이닝종료 0:0,1.15,0.55,-0.55,54.80%,-0.05
05월 12일, LG,2회말,이우찬,2 고승민,4 (0-2),좌익수 플라이 아웃,1사 만루 1:3,2사 만루 1:3,1.69,1.808,-0.868,76.50%,-0.05
05월 19일, 두산,8회초,이병헌,3 고승민,1 (0-1),1루주자 고승민 : 2루도루실패,2사 1루 3:3,이닝종료 3:3,1.8,0.239,-0.239,60.70%,-0.051
05월 01일, 키움,4회말,이종민,8 고승민,3 (1-1),3루수 땅볼 아웃,"2사 1,2루 0:0",이닝종료 0:0,2.02,0.492,-0.492,50.00%,-0.052
05월 18일, 두산,1회초,곽빈,3 고승민,3 (0-2),헛스윙 삼진,"무사 1,2루 0:0","1사 1,2루 0:0",1.87,1.643,-0.659,46.20%,-0.052
05월 14일, KT,8회초,김민,2 고승민,4 (2-1),좌익수 플라이 아웃,무사 3:4,1사 3:4,2.16,0.556,-0.268,80.30%,-0.055
05월 28일, 한화,5회초,문동주,3 고승민,1 (0-0),2루수 병살타 아웃,1사 1루 3:2,이닝종료 3:2,1.25,0.551,-0.551,41.20%,-0.055
03월 23일, SSG,8회초,노경은,2 고승민,8 (3-2),헛스윙 삼진,1사 2루 3:5,2사 2루 3:5,2.01,0.768,-0.388,89.80%,-0.056
05월 24일, 삼성,5회말,레예스,2 고승민,6 (3-2),낫아웃 삼진,무사 2루 5:3,1사 2루 5:3,1.82,1.258,-0.467,30.80%,-0.059
05월 03일, 삼성,9회초,김재윤,2 고승민,8 (2-2),유격수 파울플라이 아웃,무사 6:6,1사 6:6,2.32,0.55,-0.267,55.90%,-0.059
04월 02일, 한화,4회초,산체스,7 고승민,5 (2-2),헛스윙 삼진,"2사 2,3루 0:0",이닝종료 0:0,2.44,0.618,-0.618,56.00%,-0.072
05월 01일, 키움,2회말,이종민,8 고승민,4 (1-2),1루수 땅볼 출루,1사 3루 0:0,2사 1루 0:0,1.45,0.98,-0.753,52.40%,-0.076
03월 26일, KIA,9회초,정해영,2 고승민,3 (0-2),헛스윙 삼진,2사 1루 1:2,이닝종료 1:2,2.8,0.221,-0.221,100.00%,-0.079
05월 12일, LG,4회말,박명근,2 고승민,4 (1-2),2루수 땅볼 출루,1사 3루 3:3,2사 1루 3:3,1.73,1.004,-0.771,52.80%,-0.092
05월 11일, LG,3회말,손주영,2 고승민,2 (0-1),2루수 병살타 아웃,"무사 1,2루 0:0",2사 3루 0:0,2.03,1.67,-1.234,54.20%,-0.112
04월 12일, LG,8회말,이정용,6 고승민,7 (3-2),우익수 뒤 홈런,"2사 1,2루 5:4",2사 5:7,4.74,0.484,2.615,93.00%,0.646
05월 10일, 두산,3회말,최원준,2 고승민,4 (2-1),우익수 방면 2루타,"1사 1,2루 0:0","1사 2,3루 0:1",2.15,0.977,1.601,74.90%,0.153
04월 12일, LG,4회말,강효종,6 고승민,6 (1-2),좌익수 방면 2루타,2사 1루 3:2,2사 2루 3:3,1.09,0.215,1.158,54.10%,0.151
05월 02일, KIA,6회초,임기영,2 고승민,3 (0-2),중견수 방면 3루타,"2사 1,3루 5:3",2사 3루 7:3,1.37,0.536,1.851,8.20%,0.135
06월 09일, 삼성,5회초,원태인,6 고승민,1 (0-0),좌익수 방면 1루타,"2사 2,3루 2:0",2사 2루 4:0,1.54,0.634,1.739,10.50%,0.133
06월 20일, KT,3회초,배제성,1 고승민,1 (0-0),우익수 뒤 홈런,1사 0:0,1사 1:0,0.72,0.266,1,40.80%,0.117
07월 06일, 한화,3회초,문동주,3 고승민,6 (3-2),중견수 방면 2루타,2사 2루 1:1,2사 2루 2:1,1.3,0.373,1,40.10%,0.117
