Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
03월 23일, 한화,6회말,김기중,1 박해민,5 (1-2),1루주자 홍창기 : 2루 이중도루,"1사 1,2루 2:6","2사 2,3루 2:6",0.32,0.491,0.05,95.30%,0.002
03월 28일, 삼성,4회말,이승민,1 박해민,,1루주자 박해민 : 2루 이중도루,"2사 1,3루 0:5",2사 2루 0:6,0.34,0.56,0.075,95.00%,0.001
05월 17일, KT,9회초,우규민,2 박해민,7 (3-2),좌익수 방면 1루타,"무사 1,2루 10:4",무사 3루 12:4,0.02,1.66,1.94,0.00%,0.001
03월 23일, 한화,7회말,한승주,1 박해민,2 (1-0),사구,"2사 1,3루 2:7",2사 만루 2:7,0.11,0.541,0.396,98.70%,0.001
03월 31일, 키움,9회초,김연주,1 박해민,3 (1-1),우익수 방면 1루타,무사 0:8,무사 1루 0:8,0.01,0.54,0.42,99.90%,0.001
05월 25일, NC,8회말,신영우,3 박해민,4 (0-2),우익수 방면 1루타,1사 5:10,1사 1루 5:10,0.02,0.294,0.255,99.50%,0.001
04월 07일, KT,8회말,조이현,2 박해민,2 (0-1),중견수 방면 1루타,무사 1루 7:15,"무사 1,2루 7:15",0,0.973,0.693,100.00%,0
06월 02일, 두산,9회초,최종인,7 박해민,5 (2-2),우익수 방면 1루타,2사 1루 9:1,"2사 1,3루 9:1",0,0.243,0.316,0.00%,0
04월 02일, NC,2회말,하트,1 박해민,6 (3-2),낫아웃 포일 출루,"2사 1,2루 2:0",2사 만루 2:0,1.8,0.488,0,33.10%,0
03월 28일, 삼성,5회말,이재익,1 박해민,5 (3-1),1루수 땅볼 아웃,2사 1루 0:9,이닝종료 0:9,0.01,0.226,-0.226,99.60%,0
04월 16일, 롯데,8회말,정우준,8 박해민,5 (2-2),유격수 땅볼 아웃,2사 2루 2:7,이닝종료 2:7,0.03,0.228,-0.228,99.40%,-0.001
05월 29일, SSG,7회초,박시후,9 박해민,6 (3-2),3루수 땅볼 아웃,무사 9:2,1사 9:2,0.03,0.566,-0.268,0.90%,-0.001
04월 24일, 삼성,8회초,이승현,1 박해민,2 (1-0),1루수 땅볼 아웃,1사 0:6,2사 0:6,0.06,0.275,-0.168,99.70%,-0.002
